company_name,display_name,year,round,google_drive_link
Bliinx,Bliinx - 2020 - Pre-Seed,2020,Pre-Seed,https://drive.google.com/file/d/1QVzne9TPqTpGWxHvDhuJhPLKlvkeM0QY/view
Bliss.ai,Bliss.ai - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1ChKIcVUjN6CMFTwQCKE3Gg3QTbcDllIr/view
Blue Apron,Blue Apron - 2015 - Series D,2015,Series D,https://drive.google.com/file/d/1I3u7vhddFd8MztInv56TNeiGSkjQnmMs/view
Blue Studios,Blue Studios - 2019 - Pre-Seed,2019,Pre-Seed,https://drive.google.com/file/d/1WRc59LBhHXofQRITbU1ErlJYS63JYXFc/view
Blue Wire,Blue Wire - 2020 - Pre-Seed,2020,Pre-Seed,https://drive.google.com/file/d/1oj_ZWVhXsOtIcjtuUqR_fHRlzHEbmf2P/view
Blueboard,Blueboard - 2020 - Series A,2020,Series A,https://drive.google.com/file/d/131IGoLnSPMO8lAp0VQwiVbz_7FBLPznp/view
BlueOcean,BlueOcean - 2022 - Series B,2022,Series B,https://drive.google.com/file/d/155UiTBHhYxRS_d6brp0zzJ2JCZgj8lSH/view
Blurbiz,Blurbiz - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1ruCaspA_F0RPOw6Vf51T_qgyOc5L21kg/view
Bohemian Guitars,Bohemian Guitars - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1kP79DEiEQUU9KwotkrYsxU6OMeMX7oUU/view
Bolt,Bolt - 2021 - Series D,2021,Series D,https://drive.google.com/file/d/189W7CctiWW9VZasQEau0sRuFrsDCrIvy/view
Bonyu,Bonyu - 2019,2019,,https://drive.google.com/file/d/17xN30G7MUtAAK8q_V76jE7VKBPnva0IZ/view
Book.Stay.Go,Book.Stay.Go - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1FO5ILWuK82uxM7P-FySnJPNlyKn1gSiZ/view
Boon,Boon - 2015,2015,,https://drive.google.com/file/d/1jR5Sy5nie5xdGF8U0OWkKKQMJrhLl2Uh/view
Botsociety,Botsociety - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1v_DjKXnYcx_SwoqQhQGQDA1Xk3sVvqa9/view
Bottles Tonight,Bottles Tonight - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1HqxKW3WB7eFFcgn2wbau58smPB894Bq5/view
BOXC,BOXC - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/1-Zuyv_YMRSOlgFRlVNzqretDOsZp25ye/view
Boxcryptor,Boxcryptor - 2012 - Seed,2012,Seed,https://drive.google.com/file/d/1rujAPxv1RxSCArqFMV8aQ0rhLC9IquaD/view
Branch,Branch - 2022 - Series C,2022,Series C,https://drive.google.com/file/d/1sauqooU81B7udPNK1nsF46n6pHuRnGVZ/view
Brewpublik,Brewpublik - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/16HncjLQjik8TO0Jd4rqTww3tQD5R2whI/view
Brex,Brex - 2018 - Series B,2018,Series B,https://drive.google.com/file/d/1GLF-9MrNg3kTgxLfA0wSBZde3utkBWOm/view
Bridge US,Bridge US - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/10JziOpAKvsdqIXjoYIwy1fhWNdcTE_-b/view
Bright.md,Bright.md - 2020,2020,,https://drive.google.com/file/d/19WrRti-VOF_2DrfatP1xAHLBYnaH7CSQ/view
Bstow,Bstow - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1Flvk2x_Ae_p5gHNGWXOWlT9wNDhBgfRV/view
